item,v54_status,witness_or_boundary
G1_codomain,closed,MSbar(2 GeV) light-quark codomain declared
source_Tu,closed_v53,T_u^APF=1.1532098523996768 MeV imported from trace-sector source bank
source_Td_Ts,closed,"T_d^APF=3.870916422334003 MeV, T_s^APF=87.14328163365137 MeV"
source_vector_Tuds,closed_v53,full T_uds^APF source vector closed
identity_transport,knockout_v53,"identity route fails u,d,s"
universal_scalar_transport,knockout_v53,"best one-scalar route still fails u,d badly"
diagonal_fit_transport,forbidden,"would be target fitting if solved from PDG u,d,s"
source_independence,closed,external ledger targets not used to construct APF source
residual_assignment,closed_boundary,"remaining discrepancy assigned to chiral/lattice, EM/isospin, matching, covariance channels"
physical_export_candidate,not_claimed,requires external evaluator and covariance matrix
