gate_id,status,evidence,blocks_full_native_one_loop
G2N_V20_DEPENDENCY,CLOSED,W_TRACE_DENNER_WARD_IDENTITY_COUNTERTERM_IMPORT_PASS,False
G2N_DIZET_INTERNALS,CLOSED,DIZET internal variables imported as diagnostics,False
G2N_NATIVE_EVALUATED_ROWS,CLOSED,Delta-alpha and leading-rho rows evaluated,False
G2N_TARGET_DECOMPOSITION,CLOSED,finite target = DIZET DRREM + rho resummation delta,False
G2N_NO_FIT_GUARD,CLOSED_GUARD,diagnostic targets cannot become admitted formula rows,False
G2N_SELF_ENERGY_FORMULAE,OPEN,reviewed W/Z self-energy numeric formulae missing,True
G2N_CHARGE_GAMMAZ_FORMULAE,OPEN,reviewed photon/gamma-Z formulae missing,True
G2N_VERTEX_BOX_FORMULAE,OPEN,reviewed vertex/box coefficient formulae missing,True
G2N_GAUGE_AUDIT,OPEN,tadpole/ghost/gauge-cancellation numeric audit missing,True
G2N_FULL_NATIVE_ONE_LOOP,OPEN,APF_NATIVE_REVIEWED_FAMILY_FORMULAE_NUMERIC_IMPORT_AND_VERTEX_BOX_GAUGE_AUDIT,True
