check,passed,detail
sector_rows_present,True,bottom/top/charged/charm/light sectors all present
only_bottom_export_candidate,True,only bottom reaches export-candidate status
top_not_physical_export,True,top physical export is blocked; terminal scheme closeout only
charged_leptons_not_export,True,charged leptons remain residual obstruction
charm_rejected,True,charm MSbar direct export knocked out
light_quarks_qcd_obstruction,True,"u,d,s closed as low-energy QCD obstruction"
trace_vector_complete,True,nine charged/colored fermion trace entries represented
no_smuggling_gates_pass,True,all no-smuggling master gates pass
sector_1_has_status,True,bottom status populated
sector_1_has_gate,True,bottom gate/boundary populated
sector_2_has_status,True,top status populated
sector_2_has_gate,True,top gate/boundary populated
sector_3_has_status,True,charged_leptons status populated
sector_3_has_gate,True,charged_leptons gate/boundary populated
sector_4_has_status,True,charm status populated
sector_4_has_gate,True,charm gate/boundary populated
sector_5_has_status,True,light_quarks status populated
sector_5_has_gate,True,light_quarks gate/boundary populated
trace_u_has_value,True,u value populated
trace_d_has_value,True,d value populated
trace_s_has_value,True,s value populated
trace_c_has_value,True,c value populated
trace_b_has_value,True,b value populated
trace_t_has_value,True,t value populated
trace_e_has_value,True,e value populated
trace_mu_has_value,True,mu value populated
trace_tau_has_value,True,tau value populated
obstruction_top_named,True,top obstruction gate named
obstruction_charged leptons_named,True,charged leptons obstruction gate named
obstruction_charm_named,True,charm obstruction gate named
obstruction_light quarks_named,True,light quarks obstruction gate named
