entry,value,v48_status,smuggling_status,notes
codomain_family,QED lepton mass transport,declared,not fitted,"pole,v43 -> running codomain via external QED RG/matching operator"
source_vector,Phi_l^v43,closed_APF_side,not fitted,"[0.5110026357885311, 105.658243985342, 1776.9168320084111]"
diagnostic_reference,CODATA 2022 charged-lepton mass-energy equivalents,imported_external_ledger,not source input,"[0.51099895069, 105.6583755, 1776.86]"
alpha_inverse,137.035999177(21),imported_external_ledger,not fitted,NIST/CODATA 2022 inverse fine-structure constant
alpha,computed from alpha_inverse,derived_from_ledger,not fitted,0.0072973525643314245
loop_order_L0,identity / pole route,evaluated,not fitted,v43 pole vector
loop_order_L1,one-loop self-scale pole-MSbar witness,evaluated,not fitted,mbar_i=Phi_i/(1+alpha/pi)
loop_order_L_ge_2,two-loop and higher coefficients,external_coefficients_required,not evaluated,"needs declared literature/code ledger, convention, and covariance"
scale_choice,mu_i = m_i self-scale for L1 witness,declared_before_evaluation,not target-selected,one scalar convention applied to all generations
threshold_schedule,QED active-lepton thresholds,external_schedule_required,not target-selected,required for full common-scale running
matching_convention,OS<->MSbar matching convention,external_convention_required,not target-selected,must be frozen before numeric full-running export
covariance_protocol,APF envelope + CODATA constants + perturbative truncation,partially_evaluated,not fitted,v48 evaluates admission envelope; full covariance requires L>=2 ledger
forbidden_generation_knobs,"r_e,r_mu,r_tau",forbidden,forbidden,no independent residual factors
