forbidden_input,reason,v53_audit
PDG m_u(2GeV) to define T_u,direct inverse source construction,blocked
"PDG m_d(2GeV) or m_s(2GeV) to rescale T_d,T_s",component-wise target fitting,blocked
"least-squares diagonal U_chi-lat from u,d,s targets",three-knob residual erasure,blocked
universal scalar kappa selected because it minimizes PDG residuals,single-knob target fitting unless used only as knockout diagnostic,blocked_as_export
lattice scale a chosen after APF residuals are known,external ledger fit knob,blocked
chiral ansatz selected by best APF agreement,post-hoc model selection,blocked
EM/isospin corrections chosen independently per quark,hidden generation residual fitter,blocked
quoting PDG ratios as APF derivation of source vector,external target reuse,blocked
using charm/top heavy up-family anchors to extrapolate u through target masses,cross-regime source smuggling,blocked
using down-family trace identity as physical MSbar(2GeV) masses,codomain mistake,blocked
