gate_id,status,object,evidence,blocks_full_native_one_loop
G2I_SOURCE_FORMULA_MATRIX,CLOSED,formula import matrix,"ten formula/target rows declared with source anchors, dependencies, PV basis, and admission status",False
G2I_NATIVE_DELTA_ALPHA_ROW,CLOSED,Delta-alpha row,same-input DIZET/Denner running-alpha row admitted as APF input row,False
G2I_NATIVE_RHO_LEAD_ROW,CLOSED,leading top-rho row,analytic same-input APF formula evaluated,False
G2I_PARTIAL_NATIVE_ASSEMBLY,CLOSED,partial native one-loop assembly,Delta alpha + leading rho branch evaluated without fitted coefficients,False
G2I_TARGET_CLOSURE,CLOSED,finite counterterm target closure,partial native assembly plus DIZET target rows equals same-input DIZET Delta-r,False
G2I_NO_FIT_GUARD,CLOSED_GUARD,no-fitted-coefficients guard,least-norm or target-only rows are not admitted as proof,False
G2L_SELF_ENERGY_COEFFS,OPEN,reviewed W/Z self-energy coefficient functions,"source formula slots imported, numeric coefficients not imported",True
G2L_VERTEX_BOX_COEFFS,OPEN,reviewed vertex/box coefficient functions,"source formula slots imported, full-kinematic tensor coefficients not imported",True
G2L_GAUGE_CANCELLATION_AUDIT,OPEN,gauge/tadpole/ghost cancellation audit,requires source formula coefficients and gauge-parameter check,True
G2L_FULL_NATIVE_ONE_LOOP,OPEN,full APF-native one-loop Delta-r evaluator,APF_NATIVE_FULL_DENNER_SIRLIN_FORMULA_IMPORT_NOT_COMPLETE,True
