quantity,value,meaning,status
T_l,"(T_e,T_mu,T_tau)",numeric APF charged-lepton trace vector,open_source_gate
source_map,"mathfrak T_l: Gamma_gen -> R_{>0}^3",APF-native trace-vector source,required_not_supplied
Omega_l,"lepton-sector cooperative-overlap content",equivalent source object to close T_l,open
FN_rungs,"q=(0,1,2)",generation-rung ladder,inherited_closed
epsilon,"exp(-3/2)",FN suppression convention from Paper 4,conditional_external_to_v40
nu_l,"1/sqrt(6)",ordering normalization,inherited_closed
R_l,"diag(1/3,3,1)",charged-lepton residual operator,inherited_closed
forbidden_inverse,"T_l=(Z nu R)^(-1) O_l^S",target-mass inversion,forbidden
pole_codomain,"S=pole; Z_l^pole=I",clean first external codomain,codomain_declared_partial
running_codomain,"S=MSbar(mu); Z_l^S required",QED running codomain,deferred_to_QED_transport
promotion,"P_route^coefficient_closed -> P_source_gate^T_l & P_codomain^pole_ready",source gate banked not exported,closed_obstruction
