ref_id,domain,source,status,url,use
NIST_CODATA_2022,CODATA/NIST constants,"Mohr-Newell-Taylor-Tiesinga, CODATA 2022 recommended values; NIST constants database",frozen_external_constants_source,https://www.nist.gov/publications/codata-recommended-values-fundamental-physical-constants-2022,"alpha, charged-lepton mass constants, constants provenance"
PDG_2025_W,EW on-shell W,PDG 2025 W-boson listing,external_comparison_ledger,https://pdg.lbl.gov/2025/listings/rpp2025-list-w-boson.pdf,W world average 80.3692 +- 0.0133 GeV
CMS_2026_W_Nature,EW on-shell W,"CMS Collaboration, Nature 652, 321-327 (2026)",external_comparison_ledger,https://www.nature.com/articles/s41586-026-10168-5,W mass 80360.2 +- 9.9 MeV
PDG_2025_C_QUARK,heavy QCD charm,PDG 2025 charm-quark listing,external_comparison_ledger,https://pdg.lbl.gov/2025/listings/rpp2025-list-c-quark.pdf,mc(mc)=1.2730 +- 0.0046 GeV at 90% CL
PDG_2025_B_QUARK,heavy QCD bottom,PDG 2025 bottom-quark listing,external_comparison_ledger,https://pdg.lbl.gov/2025/listings/rpp2025-list-b-quark.pdf,mb(mb)=4.183 +- 0.007 GeV at 90% CL
PDG_2025_T_QUARK,top mass boundary,PDG 2025 top-quark listing,external_audit_boundary,https://pdg.lbl.gov/2025/listings/rpp2025-list-t-quark.pdf,direct/MC-style mass boundary and codomain warning
PDG_2025_QCD_REVIEW,QCD alpha_s and running,PDG 2025 QCD review,external_constants_source,https://pdg.lbl.gov/2025/reviews/rpp2025-rev-qcd.pdf,alpha_s(MZ) and QCD running conventions
MSR_HOANG_2017,MSR mass and R-evolution,"Hoang et al., The MSR Mass and the O(Lambda_QCD) Renormalon Sum Rule",primary_theory_source,https://arxiv.org/abs/1704.01580,"MSR mass definition, R scale, R-evolution"
RUNDEC_V3,QCD running/decoupling,"Herren-Steinhauser, RunDec/CRunDec v3",external_evaluator_reference,https://arxiv.org/abs/1703.03751,"running/decoupling of alpha_s and quark masses, heavy mass conversions"
RUNDEC_ORIGINAL,QCD running/decoupling,"Chetyrkin-Kuehn-Steinhauser, RunDec",external_evaluator_reference,https://arxiv.org/abs/hep-ph/0004189,original RunDec equations and implementation boundary
TOP_MC_INTERPRETATION_HOANG_2020,top direct/MC codomain,"Hoang, What is the Top Quark Mass?",codomain_caution_source,https://arxiv.org/abs/2004.12915,direct top mass is MC parameter; field-theoretic relation remains subtle
